#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
#doc=About_everything.2.txt;;;;;;;;;;;;;;
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Всегда;ВСЕГДА;ADV -;;;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -
4;мечтала;МЕЧТАТЬ;V ipf praet sg indic f -;;;а;л;а;т;ч;е;V;МЕЧТАТЬ;V ipf praet sg indic f -
5;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
6;актрисой;АКТРИСА;S f anim ins sg;;;й;о;с;и;р;т;S;АКТРИСА;S f anim ins sg
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
9;потом;ПОТОМ;ADV -;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;эээ;ЭЭЭ;NONLEX;distort;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
13;решила;РЕШИТЬ;V pf praet sg indic f -;;;а;л;и;ш;е;р;V;РЕШИТЬ;V pf praet sg indic f -
14;поступать;ПОСТУПАТЬ;V ipf - - inf - -;;;ь;т;а;п;у;т;V;ПОСТУПАТЬ;V ipf - - inf - -
15;на;НА;PR;;;а;н;;;;;PR;НА;PR
16;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
17;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
18;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
19;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
20;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
21;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
22;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
23;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
24;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
25;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
26;биофак;БИОФАК;S m inan acc sg;;;к;а;ф;о;и;б;S;БИОФАК;S m inan acc sg
27;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
28;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
29;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;биологический;БИОЛОГИЧЕСКИЙ;A - acc sg plen m -;;;й;и;к;с;е;ч;A;БИОЛОГИЧЕСКИЙ;A - nom sg plen m -
5;факультет;ФАКУЛЬТЕТ;S m inan acc sg;;;т;е;т;ь;л;у;S;ФАКУЛЬТЕТ;S m inan nom sg
6;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
7;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
8;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
2;смех;СМЕХ;S m inan nom sg;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
3;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
4;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Типо;ТИПО;ADV -;distort;;о;п;и;т;;;S;ТИПО;S m anim nonflex nonflex
2;актриса;АКТРИСА;S f anim nom sg;;;а;с;и;р;т;к;S;АКТРИСА;S f anim nom sg
3;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
4;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
8;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
9;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
10;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
11;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
12;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
13;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
14;биофак;БИОФАК;S m inan nom sg;;;к;а;ф;о;и;б;S;БИОФАК;S m inan acc sg
15;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
16;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
17;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;биологический;БИОЛОГИЧЕСКИЙ;A - nom sg plen m -;;;й;и;к;с;е;ч;A;БИОЛОГИЧЕСКИЙ;A - nom sg plen m -
5;факультет;ФАКУЛЬТЕТ;S m inan nom sg;;;т;е;т;ь;л;у;S;ФАКУЛЬТЕТ;S m inan nom sg
6;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
7;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
8;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
2;несовместимые;НЕСОВМЕСТИМЫЙ;A - nom pl plen - inan;;;е;ы;м;и;т;с;A;НЕСОВМЕСТИМЫЙ;A - acc pl plen - inan
3;вещи;ВЕЩЬ;S f inan nom pl;;;и;щ;е;в;;;S;ВЕЩЬ;S f inan acc pl
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
6;актрисой;АКТРИСА;S f anim ins sg;;;й;о;с;и;р;т;S;АКТРИСА;S f anim ins sg
7;мне;Я;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
8;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
9;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;потому что;потому что;ADV - CONJ ;раздельно;;о;т;ч; ;у;м;ZERO;потому что;ZERO
12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
13;эм;ЭМ;NONLEX;distort;;м;э;;;;;S;ЭМ;S n inan nonflex nonflex
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
16;все;ВСЕ;SPRO - - nom pl;;;е;с;в;;;;S;ВСЕ;S - - nom pl
17;начнут;НАЧАТЬ;V pf fut pl indic - 3p;;;т;у;н;ч;а;н;V;НАЧАТЬ;V pf fut pl indic - 3p
18;тогда;ТОГДА;ADV -;;;а;д;г;о;т;;ADV;ТОГДА;ADV -
19;узнавать;УЗНАВАТЬ;V ipf - - inf - -;;;ь;т;а;в;а;н;V;УЗНАВАТЬ;V ipf - - inf - -
20;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
21;личной;ЛИЧНЫЙ;A - gen sg plen f -;;;й;о;н;ч;и;л;A;ЛИЧНЫЙ;A - gen sg plen f -
22;жизни;ЖИЗНЬ;S f inan gen sg;;;и;н;з;и;ж;;S;ЖИЗНЬ;S f inan gen sg
23;у;У;PR;;;у;;;;;;PR;У;PR
24;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
25;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
26;будет;БЫТЬ;V ipf praes sg indic - 3p;;;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p
27;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
28;так;ТАК;ADVPRO -;;;к;а;т;;;;ADV;ТАК;ADV -
29;мне;Я;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
30;говорил;ГОВОРИТЬ;V ipf praet sg indic m -;;;л;и;р;о;в;о;V;ГОВОРИТЬ;V ipf praet sg indic m -
31;папа;ПАПА;S m anim nom sg;;;а;п;а;п;;;S;ПАПА;S m anim nom sg
32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
33;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
34;слушаюсь;СЛУШАТЬСЯ;V ipf praes sg indic - 1p;;;ь;с;ю;а;ш;у;V;СЛУШАТЬСЯ;V ipf praes sg indic - 1p
35;папу;ПАПА;S m anim gen sg;;;у;п;а;п;;;S;ПАПА;S m anim acc sg
36;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Папа;ПАПА;S m anim nom sg;;;а;п;а;п;;;S;ПАПА;S m anim nom sg
4;глава;ГЛАВА;S f anim nom sg;;;а;в;а;л;г;;S;ГЛАВА;S m anim nom sg
5;семьи;СЕМЬЯ;S f inan gen sg;;;и;ь;м;е;с;;S;СЕМЬЯ;S f inan gen sg
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;папа;ПАПА;S m anim nom sg;;;а;п;а;п;;;S;ПАПА;S m anim nom sg
8;умный;УМНЫЙ;A - nom sg plen m -;;;й;ы;н;м;у;;A;УМНЫЙ;A - nom sg plen m -
9;человек;ЧЕЛОВЕК;S m anim nom sg;;;к;е;в;о;л;е;S;ЧЕЛОВЕК;S m anim nom sg
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
12;на;НА;PR;;;а;н;;;;;PR;НА;PR
13;него;ОН;SPRO sg 3p m acc;;;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc
14;равняюсь;РАВНЯТЬСЯ;V ipf praes sg indic - 1p;;;ь;с;ю;я;н;в;V;РАВНЯТЬСЯ;V ipf praes sg indic - 1p
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
18;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
19;считаю;СЧИТАТЬ;V ipf praes sg indic - 1p;;;ю;а;т;и;ч;с;V;СЧИТАТЬ;V ipf praes sg indic - 1p
20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
21;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
22;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
23;умный;УМНЫЙ;A - nom sg plen m -;;;й;ы;н;м;у;;A;УМНЫЙ;A - nom sg plen m -
24;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
25;образованный;ОБРАЗОВАННЫЙ;A - nom sg plen m -;;;й;ы;н;н;а;в;A;ОБРАЗОВАННЫЙ;A - nom sg plen m -
26;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
4;лето;ЛЕТО;S n inan nom sg;;;о;т;е;л;;;S;ЛЕТО;S n inan acc sg
5;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
6;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
7;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
8;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
9;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
10;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
11;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
12;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
13;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
14;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
15;ваще;ВООБЩЕ;ADV -;distort ;;е;щ;а;в;;;S;ВАЩ;S m inan loc sg
16;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
17;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
18;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
2;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
3;было;БЫТЬ;V ipf praet sg indic n -;;;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;потому что;потому что;ADV - CONJ ;раздельно;;о;т;ч; ;у;м;ZERO;потому что;ZERO
6;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
7;в;В;PR;;;в;;;;;;PR;В;PR
8;сентябре;СЕНТЯБРЬ;S m inan loc sg;;;е;р;б;я;т;н;S;СЕНТЯБРЬ;S m inan loc sg
9;выходила;ВЫХОДИТЬ;V ipf praet sg indic f -;;;а;л;и;д;о;х;V;ВЫХОДИТЬ;V ipf praet sg indic f -
10;голее;ГОЛЫЙ;A comp - - plen - -;;;е;е;л;о;г;;A;ГОЛЫЙ;A comp - - plen - -
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;чем;ЧЕМ;CONJ;;;м;е;ч;;;;CONJ;ЧЕМ;CONJ
13;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
14;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;То есть;То есть;-;раздельно;;ь;т;с;е; ;о;-;То есть;-
4;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
5;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
6;одевала;ОДЕВАТЬ;V ipf praet sg indic f -;;;а;л;а;в;е;д;V;ОДЕВАТЬ;V ipf praet sg indic f -
7;толстовки;ТОЛСТОВКА;S f inan acc pl;;;и;к;в;о;т;с;S;ТОЛСТОВКА;S f inan acc pl
8;всякие;ВСЯКИЙ;A - acc pl plen - inan;;;е;и;к;я;с;в;A;ВСЯКИЙ;A - acc pl plen - inan
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
13;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
14;сейчас;СЕЙЧАС;ADV -;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
15;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
16;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
18;знаешь;ЗНАТЬ;V ipf praes sg indic - 2p;;;ь;ш;е;а;н;з;V;ЗНАТЬ;V ipf praes sg indic - 2p
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;две;ДВА;NUM nom f -;;;е;в;д;;;;NUM;ДВА;NUM nom f -
21;недели;НЕДЕЛЯ;S f inan gen sg;;;и;л;е;д;е;н;S;НЕДЕЛЯ;S f inan gen sg
22;назад;НАЗАД;ADV -;;;д;а;з;а;н;;ADV;НАЗАД;ADV -
23;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
24;выходила;ВЫХОДИТЬ;V ipf praet sg indic f -;;;а;л;и;д;о;х;V;ВЫХОДИТЬ;V ipf praet sg indic f -
25;в;В;PR;;;в;;;;;;PR;В;PR
26;футболке;ФУТБОЛКА;S f inan loc sg;;;е;к;л;о;б;т;S;ФУТБОЛКА;S f inan loc sg
27;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
28;в;В;PR;;;в;;;;;;PR;В;PR
29;джинсах;ДЖИНСЫ;S - inan loc pl;;;х;а;с;н;и;ж;S;ДЖИНСЫ;S - inan loc pl
30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
31;в;В;PR;;;в;;;;;;PR;В;PR
32;джинсах;ДЖИНСЫ;S - inan loc pl;;;х;а;с;н;и;ж;S;ДЖИНСЫ;S - inan loc pl
33;была;БЫТЬ;V ipf praet sg indic f -;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
34;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
35;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
36;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
37;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
38;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
39;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
40;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
41;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
42;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
43;ле;ЛЕ;;distort ;;е;л;;;;;S;ЛЕ;S - anim nonflex nonflex
44;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
45;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
46;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
2;эээ;ЭЭЭ;NONLEX;distort;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;в;В;PR;;;в;;;;;;PR;В;PR
5;сентябре;СЕНТЯБРЬ;S m inan loc sg;;;е;р;б;я;т;н;S;СЕНТЯБРЬ;S m inan loc sg
6;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;То есть;То есть;-;раздельно;;ь;т;с;е; ;о;-;То есть;-
2;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
3;нормально;НОРМАЛЬНЫЙ;ADV -;;;о;н;ь;л;а;м;ADV;НОРМАЛЬНО;ADV -
4;реально;РЕАЛЬНЫЙ;ADV -;;;о;н;ь;л;а;е;ADV;РЕАЛЬНО;ADV -
5;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;А;А;CONJ;;;а;;;;;;CONJ;А;CONJ
4;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
5;то;ТО;SPRO - nom sg;;;о;т;;;;;S;ТО;S n - nom sg
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
8;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
9;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
10;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
11;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
12;фигня;ФИГНЯ;S f inan nom sg;;;я;н;г;и;ф;;S;ФИГНЯ;S f inan nom sg
13;реально;РЕАЛЬНЫЙ;ADV -;;;о;н;ь;л;а;е;ADV;РЕАЛЬНО;ADV -
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
16;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
17;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
18;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
19;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
20;покупаться;ПОКУПАТЬСЯ;V pf - - inf - -;;;я;с;ь;т;а;п;V;ПОКУПАТЬСЯ;V pf - - inf - -
21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
22;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
23;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
24;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
26;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
27;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
28;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
32;чет;ЧТО-ТО;SPRO inan nom sg;distort ;;т;е;ч;;;;S;ЧЕТ;S m inan acc sg
33;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
34;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
35;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что-то;ЧТО-ТО;SPRO inan nom sg;;;о;т;;о;т;ч;S;ЧТО-ТО;S n inan nom sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;позагорать;ПОЗАГОРАТЬ;V pf - - inf - -;;;ь;т;а;р;о;г;V;ПОЗАГОРАТЬ;V pf - - inf - -
2;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;А;А;CONJ;;;а;;;;;;CONJ;А;CONJ
2;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
3;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
4;была;БЫТЬ;V ipf praet sg indic f -;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
5;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
6;только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
7;в;В;PR;;;в;;;;;;PR;В;PR
8;Крыму;КРЫМ;S m inan loc2 sg;;;у;м;ы;р;к;;S;КРЫМ;S m inan loc2 sg
9;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
2;в;В;PR;;;в;;;;;;PR;В;PR
3;Крыму;КРЫМ;S m inan loc2 sg;;;у;м;ы;р;к;;S;КРЫМ;S m inan loc2 sg
4;мне;Я;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
5;дала;ДАТЬ;V pf praet sg indic f -;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
6;эта;ЭТОТ;APRO - nom sg plen f -;;;а;т;э;;;;A;ЭТОТ;A - nom sg plen f -
7;жара;ЖАРА;S f inan nom sg;;;а;р;а;ж;;;S;ЖАРА;S f inan nom sg
8;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
